Index,Gene
0,A1BG
1,A1CF
2,A2M
3,A2ML1
4,A3GALT2
5,A4GALT
6,A4GNT
7,AAAS
8,AACS
9,AADAC
10,AADACL2
11,AADACL3
12,AADACL4
13,AADAT
14,AAED1
15,AAGAB
16,AAK1
17,AAMDC
18,AAMP
19,AANAT
20,AAR2
21,AARD
22,AARS
23,AARS2
24,AARSD1
25,AASDH
26,AASDHPPT
27,AASS
28,AATF
29,AATK
30,ABAT
31,ABCA1
32,ABCA10
33,ABCA12
34,ABCA13
35,ABCA2
36,ABCA3
37,ABCA4
38,ABCA5
39,ABCA6
40,ABCA7
41,ABCA8
42,ABCA9
43,ABCB1
44,ABCB10
45,ABCB11
46,ABCB4
47,ABCB5
48,ABCB6
49,ABCB7
50,ABCB8
51,ABCB9
52,ABCC1
53,ABCC10
54,ABCC11
55,ABCC12
56,ABCC2
57,ABCC3
58,ABCC4
59,ABCC5
60,ABCC6
61,ABCC8
62,ABCC9
63,ABCD1
64,ABCD2
65,ABCD3
66,ABCD4
67,ABCE1
68,ABCF1
69,ABCF2
70,ABCF3
71,ABCG1
72,ABCG2
73,ABCG4
74,ABCG5
75,ABCG8
76,ABHD1
77,ABHD10
78,ABHD11
79,ABHD12
80,ABHD12B
81,ABHD13
82,ABHD14A
83,ABHD14A-ACY1
84,ABHD14B
85,ABHD15
86,ABHD16A
87,ABHD16B
88,ABHD17A
89,ABHD17B
90,ABHD17C
91,ABHD2
92,ABHD3
93,ABHD4
94,ABHD5
95,ABHD6
96,ABHD8
97,ABI1
98,ABI2
99,ABI3
100,ABI3BP
101,ABL1
102,ABL2
103,ABLIM1
104,ABLIM2
105,ABLIM3
106,ABO
107,ABR
108,ABRA
109,ABRACL
110,ABT1
111,ABTB1
112,ABTB2
113,ACAA1
114,ACAA2
115,ACACA
116,ACACB
117,ACAD10
118,ACAD11
119,ACAD8
120,ACAD9
121,ACADL
122,ACADM
123,ACADS
124,ACADSB
125,ACADVL
126,ACAN
127,ACAP1
128,ACAP2
129,ACAP3
130,ACAT1
131,ACAT2
132,ACBD3
133,ACBD4
134,ACBD5
135,ACBD7
136,ACCS
137,ACCSL
138,ACD
139,ACE
140,ACE2
141,ACER1
142,ACER2
143,ACER3
144,ACHE
145,ACIN1
146,ACKR1
147,ACKR2
148,ACKR3
149,ACKR4
150,ACLY
151,ACMSD
152,ACN9
153,ACO1
154,ACO2
155,ACOT1
156,ACOT11
157,ACOT12
158,ACOT13
159,ACOT2
160,ACOT4
161,ACOT6
162,ACOT7
163,ACOT8
164,ACOT9
165,ACOX1
166,ACOX2
167,ACOX3
168,ACOXL
169,ACP1
170,ACP2
171,ACP5
172,ACP6
173,ACPP
174,ACPT
175,ACR
176,ACRBP
177,ACRC
178,ACRV1
179,ACSBG1
180,ACSBG2
181,ACSF2
182,ACSF3
183,ACSL1
184,ACSL3
185,ACSL4
186,ACSL5
187,ACSL6
188,ACSM1
189,ACSM2A
190,ACSM2B
191,ACSM3
192,ACSM4
193,ACSM5
194,ACSM6
195,ACSS1
196,ACSS2
197,ACSS3
198,ACTA1
199,ACTA2
200,ACTB
201,ACTBL2
202,ACTC1
203,ACTG1
204,ACTG2
205,ACTL10
206,ACTL6A
207,ACTL6B
208,ACTL7A
209,ACTL7B
210,ACTL8
211,ACTL9
212,ACTN1
213,ACTN2
214,ACTN3
215,ACTN4
216,ACTR10
217,ACTR1A
218,ACTR1B
219,ACTR2
220,ACTR3
221,ACTR3B
222,ACTR3C
223,ACTR5
224,ACTR6
225,ACTR8
226,ACTRT1
227,ACTRT2
228,ACTRT3
229,ACVR1
230,ACVR1B
231,ACVR1C
232,ACVR2A
233,ACVR2B
234,ACVRL1
235,ACY1
236,ACY3
237,ACYP1
238,ACYP2
239,AD000671.6
240,ADA
241,ADAD1
242,ADAD2
243,ADAL
